-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                     MERRA-2 Surface Pressure (kPa) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1984,46.25,-83.75,98.83,98.4,98.74,98.45,98.35,98.4,98.49,98.62,98.85,99.04,98.64,98.54,98.61
PS,1984,46.25,-84.25,99.1,98.66,99.02,98.71,98.62,98.64,98.75,98.87,99.09,99.28,98.9,98.81,98.87
PS,1984,46.25,-84.75,99.25,98.8,99.18,98.86,98.77,98.78,98.9,99.01,99.23,99.4,99.04,98.95,99.01
PS,1984,46.25,-85.25,99.29,98.84,99.24,98.91,98.82,98.82,98.94,99.05,99.27,99.42,99.07,99.0,99.06
PS,1984,46.25,-85.75,99.27,98.81,99.22,98.88,98.81,98.78,98.92,99.02,99.24,99.37,99.04,98.98,99.03
PS,1984,46.25,-86.25,99.22,98.76,99.18,98.83,98.76,98.73,98.87,98.97,99.18,99.29,98.99,98.93,98.98
PS,1984,46.25,-86.75,99.14,98.68,99.11,98.76,98.68,98.63,98.79,98.89,99.09,99.18,98.89,98.85,98.89
PS,1984,46.25,-87.25,98.47,98.02,98.46,98.12,98.05,98.0,98.17,98.27,98.45,98.52,98.24,98.18,98.25
PS,1984,46.25,-87.75,97.56,97.13,97.56,97.24,97.18,97.14,97.34,97.42,97.59,97.63,97.34,97.28,97.37
PS,1984,46.25,-88.25,96.73,96.32,96.75,96.44,96.4,96.37,96.59,96.66,96.81,96.82,96.53,96.46,96.58
PS,1984,46.75,-83.75,97.08,96.72,97.06,96.87,96.72,96.8,96.9,97.06,97.23,97.41,96.96,96.82,96.97
PS,1984,46.75,-84.25,97.95,97.56,97.93,97.68,97.55,97.6,97.71,97.84,98.03,98.21,97.8,97.67,97.79
PS,1984,46.75,-84.75,98.79,98.38,98.78,98.48,98.36,98.37,98.49,98.61,98.81,98.98,98.6,98.5,98.6
PS,1984,46.75,-85.25,99.25,98.83,99.26,98.93,98.81,98.79,98.92,99.03,99.24,99.39,99.04,98.95,99.04
PS,1984,46.75,-85.75,99.3,98.89,99.33,99.0,98.87,98.84,98.98,99.09,99.29,99.42,99.09,99.01,99.09
PS,1984,46.75,-86.25,99.29,98.88,99.34,99.0,98.87,98.82,98.97,99.08,99.27,99.39,99.07,99.0,99.08
PS,1984,46.75,-86.75,99.37,98.95,99.42,99.06,98.94,98.87,99.03,99.13,99.33,99.42,99.13,99.08,99.14
PS,1984,46.75,-87.25,98.96,98.54,99.02,98.67,98.54,98.47,98.64,98.74,98.92,98.99,98.71,98.66,98.74
PS,1984,46.75,-87.75,98.31,97.9,98.38,98.04,97.91,97.85,98.04,98.13,98.3,98.34,98.07,98.01,98.11
PS,1984,46.75,-88.25,97.75,97.34,97.83,97.48,97.37,97.31,97.52,97.6,97.76,97.77,97.51,97.46,97.56
PS,1984,47.25,-83.75,96.05,95.75,96.11,95.98,95.78,95.87,95.98,96.15,96.29,96.45,95.98,95.81,96.02
PS,1984,47.25,-84.25,96.89,96.56,96.93,96.74,96.57,96.62,96.74,96.9,97.05,97.21,96.77,96.62,96.8
PS,1984,47.25,-84.75,98.23,97.87,98.28,98.01,97.84,97.86,97.98,98.12,98.29,98.45,98.06,97.94,98.08
PS,1984,47.25,-85.25,99.22,98.85,99.29,98.97,98.8,98.78,98.91,99.03,99.22,99.37,99.02,98.92,99.03
PS,1984,47.25,-85.75,99.58,99.21,99.68,99.33,99.16,99.11,99.25,99.37,99.56,99.7,99.37,99.28,99.38
PS,1984,47.25,-86.25,99.58,99.21,99.69,99.35,99.17,99.1,99.25,99.37,99.56,99.68,99.36,99.28,99.38
PS,1984,47.25,-86.75,99.61,99.22,99.72,99.37,99.19,99.11,99.26,99.37,99.57,99.67,99.37,99.31,99.4
PS,1984,47.25,-87.25,99.52,99.13,99.64,99.27,99.09,99.01,99.17,99.27,99.46,99.54,99.27,99.22,99.3
PS,1984,47.25,-87.75,99.31,98.91,99.43,99.05,98.87,98.78,98.95,99.05,99.24,99.29,99.04,99.0,99.08
PS,1984,47.25,-88.25,99.09,98.68,99.21,98.82,98.64,98.54,98.73,98.82,99.0,99.03,98.8,98.77,98.85
PS,1984,47.75,-83.75,96.23,95.94,96.33,96.19,95.94,96.0,96.1,96.3,96.43,96.6,96.13,95.97,96.18
PS,1984,47.75,-84.25,96.68,96.38,96.79,96.61,96.38,96.42,96.53,96.72,96.85,97.01,96.56,96.42,96.61
PS,1984,47.75,-84.75,97.53,97.21,97.64,97.41,97.19,97.2,97.32,97.49,97.63,97.79,97.38,97.25,97.42
PS,1984,47.75,-85.25,98.31,97.97,98.43,98.15,97.93,97.92,98.04,98.19,98.36,98.51,98.12,98.01,98.16
PS,1984,47.75,-85.75,98.84,98.5,98.98,98.67,98.45,98.41,98.54,98.68,98.85,98.99,98.64,98.54,98.68
PS,1984,47.75,-86.25,99.27,98.92,99.42,99.08,98.86,98.81,98.94,99.07,99.25,99.38,99.05,98.97,99.09
PS,1984,47.75,-86.75,99.52,99.16,99.69,99.33,99.1,99.03,99.17,99.29,99.48,99.58,99.28,99.22,99.32
PS,1984,47.75,-87.25,99.59,99.23,99.76,99.39,99.15,99.07,99.21,99.34,99.52,99.61,99.33,99.28,99.38
PS,1984,47.75,-87.75,99.56,99.18,99.73,99.34,99.1,99.01,99.16,99.28,99.47,99.53,99.27,99.24,99.32
PS,1984,47.75,-88.25,99.51,99.12,99.68,99.27,99.03,98.94,99.1,99.21,99.4,99.44,99.2,99.19,99.26
PS,1984,48.25,-83.75,96.91,96.62,97.05,96.87,96.57,96.59,96.67,96.89,97.03,97.21,96.75,96.63,96.82
PS,1984,48.25,-84.25,96.99,96.7,97.14,96.95,96.66,96.68,96.77,96.97,97.11,97.28,96.83,96.72,96.9
PS,1984,48.25,-84.75,96.91,96.63,97.08,96.89,96.6,96.62,96.72,96.91,97.04,97.19,96.76,96.64,96.83
PS,1984,48.25,-85.25,97.06,96.78,97.24,97.03,96.75,96.76,96.87,97.06,97.18,97.32,96.9,96.79,96.98
PS,1984,48.25,-85.75,97.68,97.38,97.86,97.6,97.34,97.33,97.45,97.61,97.75,97.88,97.49,97.4,97.56
PS,1984,48.25,-86.25,98.84,98.51,99.02,98.7,98.43,98.38,98.51,98.66,98.82,98.94,98.6,98.53,98.66
PS,1984,48.25,-86.75,99.3,98.95,99.49,99.14,98.86,98.8,98.92,99.06,99.24,99.35,99.03,98.99,99.09
PS,1984,48.25,-87.25,99.44,99.09,99.65,99.27,98.99,98.92,99.04,99.18,99.36,99.45,99.15,99.13,99.22
PS,1984,48.25,-87.75,99.5,99.13,99.7,99.31,99.02,98.94,99.07,99.2,99.39,99.46,99.18,99.18,99.26
PS,1984,48.25,-88.25,99.47,99.09,99.68,99.27,98.98,98.89,99.02,99.15,99.33,99.39,99.13,99.15,99.21
PS,1985,46.25,-83.75,98.18,98.71,98.66,98.32,98.27,98.31,98.47,98.81,98.91,98.83,98.86,98.15,98.54
PS,1985,46.25,-84.25,98.46,98.99,98.93,98.58,98.53,98.57,98.73,99.05,99.14,99.08,99.12,98.43,98.8
PS,1985,46.25,-84.75,98.63,99.16,99.07,98.72,98.67,98.72,98.87,99.18,99.27,99.21,99.26,98.59,98.94
PS,1985,46.25,-85.25,98.69,99.22,99.11,98.76,98.7,98.77,98.92,99.22,99.29,99.23,99.3,98.65,98.99
PS,1985,46.25,-85.75,98.69,99.21,99.08,98.73,98.67,98.75,98.89,99.18,99.25,99.2,99.28,98.65,98.96
PS,1985,46.25,-86.25,98.66,99.17,99.03,98.68,98.62,98.7,98.84,99.12,99.18,99.13,99.24,98.62,98.91
PS,1985,46.25,-86.75,98.61,99.1,98.94,98.59,98.52,98.61,98.75,99.03,99.08,99.03,99.16,98.57,98.83
PS,1985,46.25,-87.25,97.97,98.44,98.28,97.94,97.88,97.99,98.13,98.4,98.44,98.38,98.51,97.92,98.19
PS,1985,46.25,-87.75,97.08,97.53,97.39,97.06,97.01,97.13,97.29,97.55,97.58,97.5,97.62,97.03,97.31
PS,1985,46.25,-88.25,96.28,96.71,96.57,96.26,96.22,96.36,96.53,96.77,96.79,96.7,96.81,96.23,96.52
PS,1985,46.75,-83.75,96.46,96.98,96.99,96.69,96.67,96.7,96.88,97.23,97.31,97.18,97.2,96.43,96.89
PS,1985,46.75,-84.25,97.34,97.86,97.84,97.51,97.48,97.52,97.69,98.02,98.09,97.99,98.03,97.29,97.72
PS,1985,46.75,-84.75,98.19,98.72,98.66,98.31,98.26,98.31,98.47,98.79,98.85,98.77,98.84,98.13,98.52
PS,1985,46.75,-85.25,98.67,99.2,99.11,98.75,98.69,98.74,98.89,99.2,99.26,99.19,99.29,98.59,98.96
PS,1985,46.75,-85.75,98.75,99.27,99.17,98.81,98.75,98.81,98.95,99.25,99.3,99.24,99.35,98.67,99.02
PS,1985,46.75,-86.25,98.76,99.28,99.16,98.8,98.73,98.8,98.94,99.23,99.28,99.21,99.35,98.69,99.02
PS,1985,46.75,-86.75,98.86,99.36,99.22,98.85,98.78,98.86,99.0,99.27,99.32,99.26,99.42,98.78,99.08
PS,1985,46.75,-87.25,98.47,98.96,98.81,98.44,98.38,98.46,98.6,98.87,98.91,98.84,99.02,98.4,98.68
PS,1985,46.75,-87.75,97.86,98.32,98.17,97.81,97.75,97.84,97.99,98.25,98.28,98.2,98.38,97.77,98.05
PS,1985,46.75,-88.25,97.33,97.76,97.6,97.26,97.2,97.3,97.47,97.71,97.74,97.65,97.83,97.24,97.5
PS,1985,47.25,-83.75,95.48,95.99,96.03,95.75,95.75,95.76,95.95,96.32,96.37,96.21,96.24,95.43,95.94
PS,1985,47.25,-84.25,96.32,96.82,96.84,96.53,96.51,96.54,96.72,97.07,97.12,96.98,97.03,96.25,96.73
PS,1985,47.25,-84.75,97.67,98.18,98.15,97.81,97.76,97.79,97.96,98.29,98.34,98.24,98.32,97.58,98.0
PS,1985,47.25,-85.25,98.68,99.19,99.13,98.76,98.7,98.73,98.88,99.2,99.25,99.17,99.29,98.58,98.96
PS,1985,47.25,-85.75,99.06,99.58,99.49,99.11,99.04,99.08,99.22,99.53,99.58,99.5,99.65,98.95,99.31
PS,1985,47.25,-86.25,99.08,99.59,99.49,99.11,99.04,99.08,99.22,99.52,99.56,99.49,99.66,98.97,99.32
PS,1985,47.25,-86.75,99.13,99.63,99.51,99.13,99.05,99.09,99.23,99.52,99.56,99.49,99.69,99.02,99.33
PS,1985,47.25,-87.25,99.06,99.55,99.41,99.02,98.94,98.99,99.14,99.41,99.45,99.37,99.6,98.96,99.24
PS,1985,47.25,-87.75,98.88,99.34,99.18,98.79,98.71,98.77,98.92,99.18,99.22,99.14,99.38,98.77,99.02
PS,1985,47.25,-88.25,98.68,99.12,98.94,98.55,98.47,98.53,98.69,98.94,98.98,98.9,99.16,98.56,98.79
PS,1985,47.75,-83.75,95.68,96.19,96.22,95.93,95.91,95.9,96.08,96.46,96.51,96.34,96.42,95.61,96.1
PS,1985,47.75,-84.25,96.15,96.65,96.67,96.36,96.33,96.33,96.51,96.88,96.91,96.76,96.86,96.07,96.54
PS,1985,47.75,-84.75,97.01,97.51,97.5,97.16,97.12,97.13,97.3,97.65,97.69,97.56,97.68,96.91,97.35
PS,1985,47.75,-85.25,97.8,98.3,98.26,97.91,97.85,97.86,98.02,98.36,98.4,98.28,98.43,97.68,98.09
PS,1985,47.75,-85.75,98.35,98.85,98.79,98.42,98.35,98.37,98.52,98.84,98.88,98.78,98.95,98.22,98.61
PS,1985,47.75,-86.25,98.8,99.29,99.21,98.83,98.75,98.77,98.92,99.23,99.27,99.17,99.37,98.67,99.02
PS,1985,47.75,-86.75,99.07,99.56,99.45,99.06,98.98,99.0,99.14,99.44,99.48,99.39,99.62,98.94,99.26
PS,1985,47.75,-87.25,99.16,99.64,99.51,99.11,99.02,99.05,99.19,99.48,99.51,99.42,99.69,99.03,99.31
PS,1985,47.75,-87.75,99.14,99.61,99.46,99.06,98.96,98.99,99.14,99.41,99.45,99.36,99.65,99.01,99.27
PS,1985,47.75,-88.25,99.12,99.57,99.39,98.98,98.89,98.92,99.07,99.33,99.37,99.28,99.6,98.98,99.21
PS,1985,48.25,-83.75,96.39,96.89,96.9,96.58,96.53,96.49,96.66,97.06,97.1,96.93,97.1,96.29,96.74
PS,1985,48.25,-84.25,96.48,96.99,96.98,96.66,96.61,96.58,96.75,97.13,97.17,97.01,97.18,96.38,96.82
PS,1985,48.25,-84.75,96.42,96.92,96.91,96.59,96.55,96.53,96.7,97.06,97.09,96.93,97.1,96.31,96.76
PS,1985,48.25,-85.25,96.59,97.08,97.06,96.73,96.69,96.69,96.85,97.2,97.23,97.07,97.25,96.47,96.91
PS,1985,48.25,-85.75,97.22,97.7,97.66,97.31,97.26,97.26,97.42,97.76,97.78,97.64,97.84,97.09,97.49
PS,1985,48.25,-86.25,98.39,98.87,98.79,98.41,98.33,98.33,98.48,98.8,98.84,98.72,98.97,98.25,98.6
PS,1985,48.25,-86.75,98.87,99.34,99.23,98.84,98.76,98.75,98.9,99.2,99.24,99.13,99.42,98.71,99.03
PS,1985,48.25,-87.25,99.03,99.5,99.37,98.97,98.88,98.87,99.02,99.31,99.35,99.24,99.56,98.87,99.16
PS,1985,48.25,-87.75,99.1,99.56,99.41,99.0,98.91,98.91,99.06,99.34,99.37,99.27,99.61,98.95,99.2
PS,1985,48.25,-88.25,99.1,99.54,99.36,98.95,98.86,98.86,99.01,99.28,99.31,99.21,99.58,98.94,99.16
PS,1986,46.25,-83.75,98.47,98.61,98.47,98.46,98.58,98.49,98.54,98.71,98.74,98.85,98.79,98.81,98.63
PS,1986,46.25,-84.25,98.75,98.88,98.74,98.72,98.84,98.74,98.79,98.96,98.98,99.11,99.05,99.07,98.89
PS,1986,46.25,-84.75,98.91,99.03,98.88,98.86,98.99,98.89,98.92,99.1,99.11,99.25,99.19,99.21,99.03
PS,1986,46.25,-85.25,98.96,99.08,98.93,98.91,99.04,98.94,98.97,99.15,99.14,99.3,99.23,99.25,99.07
PS,1986,46.25,-85.75,98.94,99.05,98.9,98.88,99.02,98.91,98.93,99.13,99.11,99.27,99.21,99.23,99.05
PS,1986,46.25,-86.25,98.9,99.0,98.85,98.82,98.97,98.87,98.88,99.08,99.04,99.22,99.15,99.18,99.0
PS,1986,46.25,-86.75,98.82,98.92,98.76,98.74,98.9,98.78,98.78,98.99,98.95,99.13,99.06,99.1,98.91
PS,1986,46.25,-87.25,98.17,98.25,98.1,98.09,98.27,98.15,98.16,98.37,98.31,98.49,98.4,98.44,98.27
PS,1986,46.25,-87.75,97.27,97.34,97.21,97.21,97.41,97.3,97.31,97.52,97.45,97.62,97.5,97.53,97.39
PS,1986,46.25,-88.25,96.46,96.51,96.39,96.41,96.63,96.53,96.55,96.76,96.67,96.83,96.68,96.72,96.6
PS,1986,46.75,-83.75,96.75,96.9,96.79,96.85,96.99,96.89,96.97,97.12,97.14,97.22,97.08,97.1,96.98
PS,1986,46.75,-84.25,97.62,97.77,97.64,97.66,97.8,97.7,97.76,97.91,97.94,98.04,97.93,97.94,97.81
PS,1986,46.75,-84.75,98.46,98.61,98.46,98.46,98.6,98.49,98.53,98.69,98.71,98.83,98.73,98.76,98.61
PS,1986,46.75,-85.25,98.92,99.07,98.91,98.9,99.04,98.92,98.95,99.12,99.13,99.27,99.17,99.2,99.05
PS,1986,46.75,-85.75,98.99,99.13,98.97,98.96,99.11,98.98,99.0,99.18,99.18,99.33,99.23,99.27,99.11
PS,1986,46.75,-86.25,98.99,99.11,98.96,98.95,99.11,98.97,98.98,99.17,99.16,99.32,99.22,99.26,99.1
PS,1986,46.75,-86.75,99.06,99.18,99.02,99.01,99.17,99.03,99.03,99.22,99.2,99.38,99.28,99.32,99.16
PS,1986,46.75,-87.25,98.66,98.77,98.61,98.6,98.78,98.63,98.63,98.83,98.8,98.98,98.86,98.91,98.75
PS,1986,46.75,-87.75,98.02,98.12,97.96,97.97,98.16,98.02,98.02,98.22,98.17,98.35,98.21,98.26,98.12
PS,1986,46.75,-88.25,97.48,97.55,97.41,97.42,97.62,97.48,97.49,97.69,97.63,97.81,97.66,97.7,97.58
PS,1986,47.25,-83.75,95.75,95.92,95.81,95.93,96.1,95.96,96.07,96.19,96.22,96.27,96.08,96.09,96.03
PS,1986,47.25,-84.25,96.58,96.74,96.62,96.7,96.86,96.73,96.82,96.95,96.98,97.05,96.88,96.9,96.82
PS,1986,47.25,-84.75,97.92,98.08,97.93,97.97,98.11,97.98,98.04,98.18,98.21,98.32,98.17,98.21,98.09
PS,1986,47.25,-85.25,98.92,99.07,98.91,98.92,99.06,98.91,98.95,99.1,99.13,99.27,99.13,99.18,99.05
PS,1986,47.25,-85.75,99.28,99.43,99.27,99.27,99.41,99.26,99.28,99.44,99.47,99.62,99.48,99.53,99.4
PS,1986,47.25,-86.25,99.29,99.43,99.27,99.27,99.42,99.26,99.27,99.45,99.46,99.62,99.48,99.53,99.4
PS,1986,47.25,-86.75,99.32,99.45,99.29,99.28,99.44,99.28,99.28,99.46,99.46,99.63,99.5,99.55,99.41
PS,1986,47.25,-87.25,99.24,99.36,99.19,99.18,99.35,99.18,99.18,99.36,99.35,99.54,99.4,99.45,99.31
PS,1986,47.25,-87.75,99.03,99.13,98.96,98.96,99.13,98.96,98.95,99.14,99.12,99.32,99.17,99.23,99.09
PS,1986,47.25,-88.25,98.81,98.9,98.73,98.72,98.89,98.73,98.71,98.91,98.89,99.09,98.94,99.0,98.86
PS,1986,47.75,-83.75,95.94,96.12,95.98,96.11,96.28,96.1,96.22,96.33,96.37,96.43,96.22,96.24,96.19
PS,1986,47.75,-84.25,96.4,96.57,96.43,96.54,96.7,96.53,96.63,96.75,96.79,96.86,96.65,96.68,96.63
PS,1986,47.75,-84.75,97.25,97.41,97.26,97.34,97.49,97.33,97.4,97.53,97.57,97.66,97.47,97.51,97.44
PS,1986,47.75,-85.25,98.03,98.18,98.02,98.07,98.22,98.06,98.11,98.25,98.29,98.4,98.22,98.27,98.18
PS,1986,47.75,-85.75,98.56,98.71,98.55,98.58,98.73,98.56,98.6,98.75,98.78,98.91,98.74,98.78,98.69
PS,1986,47.75,-86.25,99.0,99.14,98.97,98.99,99.14,98.96,98.99,99.15,99.17,99.32,99.15,99.2,99.1
PS,1986,47.75,-86.75,99.25,99.38,99.21,99.23,99.38,99.19,99.21,99.37,99.39,99.56,99.39,99.44,99.33
PS,1986,47.75,-87.25,99.32,99.44,99.27,99.28,99.43,99.24,99.25,99.42,99.43,99.61,99.45,99.5,99.39
PS,1986,47.75,-87.75,99.29,99.4,99.22,99.22,99.38,99.19,99.19,99.37,99.37,99.56,99.4,99.45,99.34
PS,1986,47.75,-88.25,99.24,99.34,99.15,99.15,99.32,99.12,99.12,99.3,99.3,99.5,99.33,99.39,99.27
PS,1986,48.25,-83.75,96.63,96.81,96.64,96.77,96.92,96.7,96.81,96.92,96.99,97.06,96.84,96.87,96.83
PS,1986,48.25,-84.25,96.72,96.9,96.73,96.85,97.0,96.79,96.89,97.0,97.06,97.14,96.92,96.95,96.91
PS,1986,48.25,-84.75,96.65,96.82,96.65,96.78,96.94,96.74,96.83,96.94,96.99,97.07,96.84,96.88,96.84
PS,1986,48.25,-85.25,96.8,96.97,96.81,96.92,97.08,96.89,96.97,97.09,97.13,97.22,96.99,97.02,96.99
PS,1986,48.25,-85.75,97.43,97.58,97.41,97.5,97.65,97.47,97.53,97.66,97.69,97.8,97.59,97.62,97.58
PS,1986,48.25,-86.25,98.58,98.72,98.53,98.58,98.73,98.54,98.57,98.72,98.75,98.89,98.7,98.74,98.67
PS,1986,48.25,-86.75,99.04,99.17,98.98,99.02,99.16,98.96,98.98,99.13,99.17,99.32,99.14,99.18,99.1
PS,1986,48.25,-87.25,99.18,99.31,99.11,99.14,99.29,99.08,99.1,99.25,99.28,99.45,99.27,99.31,99.23
PS,1986,48.25,-87.75,99.23,99.35,99.15,99.18,99.33,99.11,99.12,99.29,99.31,99.49,99.31,99.35,99.27
PS,1986,48.25,-88.25,99.21,99.31,99.11,99.13,99.29,99.07,99.07,99.24,99.26,99.44,99.27,99.31,99.22
PS,1987,46.25,-83.75,98.33,99.05,99.01,98.59,98.79,98.36,98.57,98.6,98.51,98.63,98.76,98.31,98.62
PS,1987,46.25,-84.25,98.6,99.32,99.28,98.86,99.04,98.62,98.81,98.85,98.76,98.89,99.02,98.58,98.88
PS,1987,46.25,-84.75,98.76,99.47,99.42,99.01,99.17,98.76,98.95,98.99,98.9,99.03,99.16,98.73,99.03
PS,1987,46.25,-85.25,98.81,99.51,99.46,99.06,99.21,98.81,98.99,99.03,98.94,99.08,99.2,98.77,99.07
PS,1987,46.25,-85.75,98.79,99.48,99.43,99.04,99.18,98.78,98.96,99.0,98.91,99.06,99.18,98.75,99.04
PS,1987,46.25,-86.25,98.75,99.42,99.38,98.99,99.12,98.73,98.9,98.95,98.86,99.02,99.13,98.71,98.99
PS,1987,46.25,-86.75,98.68,99.33,99.29,98.91,99.02,98.64,98.8,98.86,98.77,98.94,99.05,98.63,98.91
PS,1987,46.25,-87.25,98.02,98.67,98.63,98.28,98.38,98.02,98.18,98.24,98.15,98.31,98.4,97.99,98.27
PS,1987,46.25,-87.75,97.13,97.76,97.73,97.41,97.51,97.18,97.33,97.4,97.3,97.44,97.52,97.11,97.4
PS,1987,46.25,-88.25,96.32,96.93,96.9,96.62,96.72,96.42,96.57,96.63,96.53,96.66,96.72,96.31,96.61
PS,1987,46.75,-83.75,96.63,97.36,97.36,96.99,97.18,96.79,97.0,97.03,96.94,96.98,97.11,96.62,97.0
PS,1987,46.75,-84.25,97.49,98.22,98.2,97.81,97.98,97.59,97.79,97.81,97.73,97.81,97.94,97.47,97.82
PS,1987,46.75,-84.75,98.32,99.05,99.02,98.62,98.76,98.36,98.55,98.58,98.5,98.61,98.74,98.29,98.61
PS,1987,46.75,-85.25,98.78,99.5,99.47,99.06,99.19,98.79,98.96,99.0,98.92,99.05,99.18,98.74,99.05
PS,1987,46.75,-85.75,98.85,99.56,99.53,99.13,99.24,98.85,99.02,99.06,98.98,99.12,99.24,98.81,99.11
PS,1987,46.75,-86.25,98.85,99.54,99.52,99.13,99.23,98.84,99.0,99.04,98.96,99.11,99.24,98.81,99.1
PS,1987,46.75,-86.75,98.92,99.6,99.58,99.2,99.28,98.9,99.04,99.09,99.02,99.18,99.3,98.88,99.16
PS,1987,46.75,-87.25,98.52,99.18,99.16,98.8,98.87,98.5,98.64,98.7,98.62,98.79,98.9,98.48,98.76
PS,1987,46.75,-87.75,97.88,98.53,98.51,98.18,98.24,97.89,98.03,98.09,98.01,98.17,98.27,97.85,98.13
PS,1987,46.75,-88.25,97.33,97.96,97.94,97.63,97.69,97.36,97.49,97.56,97.48,97.63,97.72,97.31,97.59
PS,1987,47.25,-83.75,95.65,96.39,96.42,96.08,96.25,95.87,96.09,96.1,96.02,96.03,96.15,95.65,96.06
PS,1987,47.25,-84.25,96.46,97.21,97.21,96.86,97.01,96.63,96.84,96.86,96.77,96.81,96.93,96.45,96.83
PS,1987,47.25,-84.75,97.78,98.53,98.52,98.13,98.26,97.87,98.05,98.08,98.0,98.08,98.22,97.75,98.1
PS,1987,47.25,-85.25,98.77,99.52,99.49,99.09,99.2,98.79,98.96,98.99,98.92,99.04,99.18,98.73,99.05
PS,1987,47.25,-85.75,99.14,99.87,99.86,99.45,99.54,99.13,99.29,99.32,99.26,99.39,99.54,99.09,99.4
PS,1987,47.25,-86.25,99.15,99.87,99.86,99.46,99.54,99.13,99.29,99.32,99.26,99.4,99.54,99.1,99.41
PS,1987,47.25,-86.75,99.18,99.88,99.87,99.48,99.55,99.15,99.29,99.33,99.27,99.43,99.56,99.13,99.42
PS,1987,47.25,-87.25,99.09,99.78,99.77,99.39,99.44,99.05,99.18,99.23,99.17,99.34,99.47,99.05,99.33
PS,1987,47.25,-87.75,98.88,99.54,99.53,99.17,99.21,98.83,98.95,99.01,98.95,99.13,99.25,98.84,99.1
PS,1987,47.25,-88.25,98.65,99.3,99.29,98.94,98.96,98.6,98.71,98.78,98.72,98.9,99.02,98.62,98.87
PS,1987,47.75,-83.75,95.82,96.59,96.62,96.27,96.41,96.02,96.23,96.24,96.18,96.18,96.31,95.82,96.22
PS,1987,47.75,-84.25,96.28,97.04,97.06,96.7,96.83,96.44,96.64,96.65,96.59,96.62,96.75,96.26,96.65
PS,1987,47.75,-84.75,97.11,97.88,97.88,97.5,97.62,97.22,97.42,97.43,97.37,97.42,97.56,97.09,97.46
PS,1987,47.75,-85.25,97.88,98.64,98.64,98.24,98.35,97.94,98.12,98.13,98.08,98.16,98.31,97.84,98.19
PS,1987,47.75,-85.75,98.41,99.16,99.16,98.76,98.85,98.44,98.61,98.62,98.58,98.68,98.83,98.37,98.7
PS,1987,47.75,-86.25,98.84,99.58,99.58,99.18,99.25,98.84,99.0,99.01,98.97,99.1,99.25,98.8,99.11
PS,1987,47.75,-86.75,99.1,99.82,99.82,99.42,99.48,99.07,99.21,99.24,99.19,99.34,99.49,99.05,99.35
PS,1987,47.75,-87.25,99.17,99.87,99.87,99.48,99.53,99.11,99.25,99.28,99.24,99.41,99.55,99.12,99.4
PS,1987,47.75,-87.75,99.13,99.81,99.82,99.43,99.47,99.06,99.19,99.23,99.19,99.36,99.51,99.09,99.35
PS,1987,47.75,-88.25,99.08,99.74,99.75,99.37,99.39,98.99,99.11,99.16,99.12,99.3,99.45,99.04,99.29
PS,1987,48.25,-83.75,96.49,97.29,97.31,96.92,97.03,96.6,96.81,96.81,96.78,96.82,96.96,96.48,96.86
PS,1987,48.25,-84.25,96.58,97.37,97.39,97.0,97.11,96.69,96.9,96.9,96.86,96.9,97.04,96.57,96.94
PS,1987,48.25,-84.75,96.51,97.29,97.31,96.94,97.05,96.64,96.84,96.83,96.8,96.83,96.97,96.49,96.87
PS,1987,48.25,-85.25,96.66,97.44,97.46,97.09,97.19,96.79,96.98,96.98,96.94,96.98,97.12,96.64,97.02
PS,1987,48.25,-85.75,97.28,98.04,98.05,97.67,97.76,97.35,97.54,97.54,97.5,97.57,97.71,97.25,97.6
PS,1987,48.25,-86.25,98.42,99.17,99.17,98.77,98.84,98.41,98.58,98.58,98.56,98.67,98.83,98.38,98.69
PS,1987,48.25,-86.75,98.87,99.61,99.61,99.21,99.26,98.83,98.98,98.99,98.97,99.11,99.27,98.83,99.13
PS,1987,48.25,-87.25,99.01,99.74,99.74,99.34,99.38,98.95,99.1,99.11,99.09,99.25,99.41,98.97,99.25
